Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr,All-Star
Gordon Hayward,Butler,2010,9,7.4,1.8,1.3,0.9,14.4,3.57,0.624,0.495,0.536,1
Paul George,Fresno State,2010,10,6.7,2.4,2,0.9,15.5,1.13,0.579,0.43,0.369,1
Kyrie Irving,Duke,2011,1,3.4,4.3,1.5,0.5,17.5,8.31,0.697,0.375,0.683,1
Derrick Williams,Arizona,2011,2,7.7,0.9,0.8,0.7,17.8,8.04,0.66,0.136,0.85,0
Tristan Thompson,Texas,2011,3,7.8,1.3,0.9,2.4,13.1,7.96,0.536,0,0.829,0
Brandon Knight,Kentucky,2011,4,4,4.2,0.7,0.2,17.3,8.91,0.553,0.45,0.333,0
Kemba Walker,UConn,2011,5,4.4,4.1,1.7,0.3,16.1,9.39,0.539,0.287,0.474,1
Jimmer Fredette,BYU,2011,6,2.6,3.7,1.2,0.1,18.7,3.56,0.596,0.408,0.386,0
Klay Thompson,Washington State,2011,7,4.8,2.6,1.3,0.8,17.9,6.32,0.55,0.438,0.27,1
Alec Burks,Colorado,2011,8,5.8,2.4,1.1,0.4,19,6.65,0.592,0.175,0.579,0
Markieff Morris,Kansas,2011,9,6.1,1.2,0.6,0.9,8.5,7.92,0.603,0.152,0.504,0
Marcus Morris,Kansas,2011,10,6.2,1.3,0.9,0.4,12.6,7.92,0.601,0.134,0.514,0
Anthony Davis,Kentucky,2012,1,10.4,1.3,1.4,4.7,14.2,7.93,0.654,0.059,0.602,1
Michael Kidd-Gilchrist,Kentucky,2012,2,7.4,1.9,1,0.9,11.9,7.93,0.57,0.156,0.589,0
Bradley Beal,Florida,2012,3,6.7,2.2,1.4,0.8,14.8,7.33,0.575,0.473,0.44,1
Dion Waiters,Syracuse,2012,4,1.9,2,1.5,0.2,9.7,8.4,0.551,0.362,0.303,0
Thomas Robinson,Kansas,2012,5,7.3,1,0.6,0.7,9.8,8.6,0.55,0.019,0.502,0
Damian Lillard,Weber State,2012,6,4.3,3.5,1.2,0.2,18.6,-2.21,0.606,0.481,0.458,1
Harrison Barnes,UNC,2012,7,5.5,1.3,0.9,0.4,16.3,8.61,0.524,0.326,0.313,0
Terrence Ross,Washington,2012,8,4.7,1.2,0.9,0.7,12.3,6.51,0.557,0.456,0.181,0
Andre Drummond,UConn,2012,9,7.6,0.4,0.8,2.7,10,8.07,0.509,0.007,0.301,1
Austin Rivers,Duke,2012,10,3.4,2.1,1,0,15.5,8.4,0.538,0.396,0.458,0
Anthony Bennett,UNLV,2013,1,8.1,1,0.7,1.2,16.1,5.71,0.609,0.253,0.467,0
Victor Oladipo,Indiana,2013,2,5.2,1.7,1.5,0.5,10.7,7.94,0.604,0.188,0.476,1
Otto Porter,Georgetown,2013,3,7.1,2.1,1.5,0.9,12.8,7.64,0.585,0.264,0.41,0
Cody Zeller,Indiana,2013,4,7.3,1.3,1.2,1.2,16.1,8.09,0.643,0.003,0.705,0
Alex Len,Maryland,2013,5,7,0.8,0.2,2.1,9.7,5.32,0.569,0.022,0.476,0
Nerlens Noel,Kentucky,2013,6,9.5,1.6,2.1,4.4,10.5,5.78,0.583,0,0.627,0
Ben McLemore,Kansas,2013,7,5.2,2,1,0.7,15.9,7.54,0.633,0.435,0.345,0
Kentavious Caldwell-Pope,Georgia,2013,8,6.1,1.5,1.9,0.4,15.8,7.02,0.543,0.539,0.307,0
Trey Burke,Michigan,2013,9,3.3,5.7,1.3,0.5,16.9,9.51,0.556,0.374,0.3,0
C.J. McCollum,Lehigh,2013,10,6.3,2.7,2.1,0.5,21.3,-5.41,0.563,0.33,0.423,0
Andrew Wiggins,Kansas,2014,1,5.9,1.5,1.2,1,17.1,11.4,0.563,0.299,0.538,0
Jabari Parker,Duke,2014,2,8.7,1.2,1.1,1.2,19.1,8.48,0.558,0.212,0.429,0
Joel Embiid,Kansas,2014,3,8.1,1.4,0.9,2.6,11.2,11.4,0.655,0.029,0.836,1
Aaron Gordon,Arizona,2014,4,8,2,0.9,1,12.4,9.04,0.503,0.118,0.471,0
Marcus Smart,Oklahoma State,2014,5,5.9,4.5,2.9,0.6,16.6,7.53,0.542,0.388,0.612,0
Julius Randle,Kentucky,2014,6,10.4,1.4,0.5,0.8,15,9.89,0.567,0.046,0.739,0
Nik Stauskas,Michigan,2014,7,2.9,2.3,0.6,0.3,14.1,9.85,0.638,0.564,0.421,0
Noah Vonleh,Indiana,2014,8,9,0.6,0.9,1.4,11.3,6.64,0.604,0.153,0.62,0
Elfrid Payton,Louisiana,2014,9,5.1,4.9,2,0.5,14.3,-1.6,0.533,0.109,0.625,0
