Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Bryant Reeves,Oklahoma State,1995,5,136,133,30.6,6.4,11,0.585,6.4,10.9,0.587,0,0.1,0.125,4.5,7,0.648,,,8.5,1,0.5,1.4,2.4,3.2,17.4,9.82,,0.608,0.585,0.005,0.637,,,,,,,,14.3,,,,,,,,
Damon Stoudamire,Arizona,1995,6,123,92,29.8,5,10.9,0.457,2.8,5.4,0.514,2.2,5.5,0.402,2.8,3.5,0.804,,,3.8,5.4,1.4,0.1,3.1,2,15,8.93,,0.597,0.558,0.504,0.323,,,,6.1,22,,0.5,19.6,19.7,,,,,,,
Shawn Respert,Michigan State,1995,7,119,58,33,7.3,15.1,0.484,4.5,8.9,0.504,2.8,6.1,0.454,3.9,4.6,0.857,,,3.5,2.5,1.2,0.1,2.9,2,21.3,9.71,,0.617,0.576,0.407,0.305,,,,,,,,14.3,,,,,,,,
Ed O'Bannon,UCLA,1995,8,117,0,29.7,5.8,11.3,0.513,5,9.3,0.539,0.8,2,0.394,3.1,4.3,0.739,,,7,1.8,1.2,0.8,2.2,2.1,15.5,8.91,,0.583,0.548,0.175,0.377,,,,,,,,14.2,,,,,,,,
Kurt Thomas,TCU,1995,9,87,,23.7,6.6,12.7,0.524,6.5,12,0.54,0.2,0.7,0.25,3.9,5.7,0.682,,,9,1.2,1,1.9,2.2,3.3,17.4,1.33,,0.564,0.531,0.054,0.453,,,,,,,,12.6,,,,,,,,
Gary Trent,Ohio,1995,10,93,,33.8,8.6,14.9,0.573,8.4,14.2,0.59,0.2,0.7,0.246,5.4,7.8,0.687,,,11.3,2,0.6,1.1,3.3,2.2,22.7,0.19,,0.608,0.579,0.05,0.522,,,,,,,,15.1,,,,,,,,
Cherokee Parks,Duke,1995,11,131,99,26.4,4.8,8.7,0.551,4.5,7.9,0.572,0.3,0.8,0.333,2.7,3.5,0.755,,,6.7,0.8,0.7,1.8,1.6,2.1,12.5,10.44,,0.603,0.566,0.089,0.407,,,,14.5,5.6,,5.5,13.1,21.6,,,,,,,
Corliss Williamson,Arkansas,1995,12,91,80,29.1,7.2,12.4,0.583,7.2,12.3,0.585,0,0.1,0.167,4.5,6.8,0.672,,,7.1,2.1,1.2,1,2.4,2.5,19,8.77,,0.609,0.583,0.005,0.546,,,,,,,,13.5,,,,,,,,
Eric Williams,Providence,1995,13,60,,30.4,5.8,12.9,0.453,5.4,11.5,0.466,0.5,1.4,0.349,4.5,6.7,0.673,,,5.9,1.9,1.6,1.1,2.2,2.7,16.7,8.75,,0.519,0.472,0.108,0.523,,,,,,,,12,,,,,,,,
Brent Barry,Oregon State,1995,14,108,13,28.9,4,8.4,0.48,2.8,4.9,0.575,1.2,3.5,0.345,2.8,3.5,0.794,,,3.7,3.3,1.8,0.6,2.9,2.5,12.1,9.12,,0.598,0.551,0.414,0.415,,,,,,,,22.1,,,,,,,,
